c0010;c0011;c0020;c0030;c0040;c0050;c0060;c0070;c0080;c0090;c0100
99;B0500;89000020240000766001520240650511P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;1951.95
100;B0500;89000020240000766001520240650512P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;1951.95
101;B0500;89000020240000766001520240650513P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;1951.95
102;B0500;89000020240000766001520240650514P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;1951.95
103;B0500;89000020240000766001520240650515P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;1951.95
104;B0500;89000020240000766001520240650516P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;1951.95
105;B0500;89000020240000766001520240650517P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;1951.95
106;B0500;89000020240000766001520240650518P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3346.20
107;B0500;89000020240000766001520240650519P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3346.20
108;B0500;89000020240000766001520240650520P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;2617.50
109;B0500;89000020240000766001520240650521P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;2617.50
110;B0500;89000020240000766001520240650522P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3789.81
111;B0500;89000020240000766001520240650523P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3789.81
112;B0500;89000020240000766001520240650524P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3789.81
113;B0500;89000020240000766001520240650525P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3789.81
114;B0500;89000020240000766001520240650526P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3036.86
115;B0500;89000020240000766001520240650527P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3036.86
116;B0500;89000020240000766001520240650528P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3036.86
117;B0500;89000020240000766001520240650529P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;3036.86
118;B0500;89000020240000766001520240650530P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;4131.24
119;B0500;89000020240000766001520240650531P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;4131.24
120;B0500;89000020240000766001520240650532P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;4131.24
121;B0500;89000020240000766001520240650533P_0000_00000000000_000003461004226;Intragroup and intra-resolution group;SANTANDER CONSUMER FINANCE S A - SUCURSAL EM PORTUGAL;549300UP6NJ84OIWNL46;LEI;3461004226;Institutions;PT;4131.24
